index,DATE,TAVG,TMIN,TMAX,rating
0,2005-01-01,44.0,35,53,bad
1,2005-01-02,36.0,28,44,bad
2,2005-01-03,49.0,44,53,bad
3,2005-01-04,42.0,39,45,bad
4,2005-01-05,36.0,28,43,bad
5,2005-01-06,30.0,25,35,worse
6,2005-01-07,33.0,28,37,bad
7,2005-01-08,32.0,29,34,worse
8,2005-01-09,31.0,28,34,bad
9,2005-01-10,37.0,31,43,bad
10,2005-01-11,34.0,30,38,bad
11,2005-01-12,33.0,29,37,worse
12,2005-01-13,46.0,33,59,worse
13,2005-01-14,48.0,33,62,worse
14,2005-01-15,29.0,25,33,good
15,2005-01-16,27.0,23,30,bad
16,2005-01-17,22.0,15,29,bad
17,2005-01-18,11.0,6,15,good
18,2005-01-19,16.0,3,29,worse
19,2005-01-20,24.0,18,29,bad
20,2005-01-21,11.0,3,18,good
21,2005-01-22,13.0,-2,27,worse
22,2005-01-23,17.0,5,28,worse
23,2005-01-24,14.0,4,23,good
24,2005-01-25,21.0,15,27,bad
25,2005-01-26,23.0,17,29,worse
26,2005-01-27,12.0,6,18,bad
27,2005-01-28,12.0,2,22,good
28,2005-01-29,19.0,2,36,good
29,2005-01-30,32.0,24,39,good
30,2005-01-31,24.0,16,31,good
31,2005-02-01,23.0,9,36,good
32,2005-02-02,25.0,11,38,good
33,2005-02-03,30.0,23,36,worse
34,2005-02-04,34.0,31,36,worse
35,2005-02-05,41.0,31,50,good
36,2005-02-06,37.0,29,45,good
37,2005-02-07,40.0,28,52,good
38,2005-02-08,34.0,25,43,good
39,2005-02-09,44.0,34,53,bad
40,2005-02-10,36.0,30,41,worse
41,2005-02-11,32.0,27,36,bad
42,2005-02-12,33.0,26,39,good
43,2005-02-13,34.0,26,41,good
44,2005-02-14,31.0,21,40,bad
45,2005-02-15,43.0,34,52,bad
46,2005-02-16,43.0,31,54,bad
47,2005-02-17,34.0,29,39,good
48,2005-02-18,25.0,16,34,bad
49,2005-02-19,21.0,13,29,good
50,2005-02-20,26.0,18,34,bad
51,2005-02-21,29.0,25,33,worse
52,2005-02-22,30.0,26,33,worse
53,2005-02-23,31.0,24,37,bad
54,2005-02-24,24.0,18,29,bad
55,2005-02-25,25.0,19,30,bad
56,2005-02-26,24.0,13,35,good
57,2005-02-27,28.0,20,35,good
58,2005-02-28,27.0,18,36,worse
59,2005-03-01,30.0,27,32,bad
60,2005-03-02,30.0,24,35,bad
61,2005-03-03,24.0,19,29,good
62,2005-03-04,25.0,16,33,good
63,2005-03-05,30.0,19,40,good
64,2005-03-06,34.0,26,41,bad
65,2005-03-07,40.0,32,47,good
66,2005-03-08,30.0,16,44,worse
67,2005-03-09,18.0,11,25,bad
68,2005-03-10,22.0,13,30,good
69,2005-03-11,25.0,18,32,worse
70,2005-03-12,34.0,32,35,worse
71,2005-03-13,34.0,30,38,bad
72,2005-03-14,34.0,25,42,good
73,2005-03-15,37.0,28,46,good
74,2005-03-16,38.0,29,46,good
75,2005-03-17,37.0,27,46,good
76,2005-03-18,37.0,26,47,good
77,2005-03-19,39.0,29,49,good
78,2005-03-20,38.0,27,48,bad
79,2005-03-21,36.0,29,43,bad
80,2005-03-22,41.0,26,55,good
81,2005-03-23,38.0,29,46,bad
82,2005-03-24,36.0,30,41,worse
83,2005-03-25,41.0,30,52,good
84,2005-03-26,38.0,29,47,good
85,2005-03-27,37.0,27,47,good
86,2005-03-28,43.0,35,50,bad
87,2005-03-29,47.0,41,53,bad
88,2005-03-30,50.0,39,61,good
89,2005-03-31,44.0,32,55,bad
90,2005-04-01,45.0,38,52,bad
91,2005-04-02,48.0,39,57,bad
92,2005-04-03,48.0,40,56,bad
93,2005-04-04,48.0,40,55,bad
94,2005-04-05,50.0,36,64,good
95,2005-04-06,49.0,40,57,good
96,2005-04-07,56.0,40,71,bad
97,2005-04-08,50.0,42,58,bad
98,2005-04-09,50.0,39,61,good
99,2005-04-10,50.0,34,65,good
100,2005-04-11,46.0,38,54,good
101,2005-04-12,43.0,32,54,good
102,2005-04-13,43.0,34,52,good
103,2005-04-14,46.0,34,57,good
104,2005-04-15,45.0,36,54,good
105,2005-04-16,46.0,32,60,good
106,2005-04-17,49.0,33,64,good
107,2005-04-18,59.0,44,73,good
108,2005-04-19,53.0,37,69,good
109,2005-04-20,67.0,47,86,bad
110,2005-04-21,50.0,39,61,bad
111,2005-04-22,47.0,35,58,bad
112,2005-04-23,55.0,46,63,worse
113,2005-04-24,51.0,42,59,bad
114,2005-04-25,47.0,42,51,bad
115,2005-04-26,53.0,38,68,bad
116,2005-04-27,53.0,50,56,worse
117,2005-04-28,53.0,41,65,bad
118,2005-04-29,52.0,40,63,good
119,2005-04-30,52.0,47,57,worse
120,2005-05-01,54.0,46,62,bad
121,2005-05-02,51.0,40,61,bad
122,2005-05-03,50.0,41,58,good
123,2005-05-04,48.0,39,57,good
124,2005-05-05,49.0,36,62,good
125,2005-05-06,47.0,39,55,bad
126,2005-05-07,45.0,42,47,bad
127,2005-05-08,48.0,42,53,bad
